Date,Time,Avg Wait Time (US),Max Wait Time (US),Avg Wait Time (Non-US),Max Wait Time (Non-US),Avg Wait Time,Max Wait Time,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
12/6/2017,0500 - 0600,31,53,36,62,34,62,21,208,381,78,7,0,0,21,716,3,31
12/6/2017,0600 - 0700,8,47,21,57,16,57,1278,591,280,129,0,0,0,77,2355,9,33
12/6/2017,0700 - 0800,10,35,19,45,16,45,467,209,131,0,0,0,0,30,837,3,33
12/6/2017,0800 - 0900,7,28,14,36,12,36,639,383,14,0,0,0,0,39,1075,9,36
12/6/2017,0900 - 1000,10,50,13,38,12,50,781,342,19,2,0,0,0,41,1185,7,35
12/6/2017,1000 - 1100,13,40,16,31,15,40,443,433,9,0,0,0,0,26,911,5,30
12/6/2017,1100 - 1200,13,33,16,35,15,35,414,322,45,0,0,0,0,37,818,8,25
12/6/2017,1200 - 1300,13,69,17,69,15,69,943,413,120,44,18,0,0,63,1601,8,26
12/6/2017,1300 - 1400,9,50,15,50,13,50,660,357,50,9,0,0,0,35,1111,7,33
12/6/2017,1400 - 1500,6,39,15,54,11,54,750,164,69,23,0,0,0,35,1041,8,27
12/6/2017,1500 - 1600,7,47,18,55,12,55,967,153,172,46,0,0,0,51,1389,9,26
12/6/2017,1600 - 1700,7,29,15,36,11,36,611,216,28,0,0,0,0,40,895,7,24
12/6/2017,1700 - 1800,14,48,21,58,18,58,568,282,158,33,0,0,0,35,1076,4,25
12/6/2017,1800 - 1900,8,50,22,58,16,58,958,187,231,91,0,0,0,56,1523,11,30
12/6/2017,1900 - 2000,13,87,29,99,22,99,596,328,96,53,104,8,0,48,1233,10,26
12/6/2017,2000 - 2100,7,36,25,63,12,63,394,56,9,31,11,0,0,15,516,4,17
12/6/2017,2100 - 2200,5,27,9,30,6,30,314,48,0,0,0,0,0,11,373,5,16
12/6/2017,2200 - 2300,7,52,14,53,11,53,276,60,45,8,0,0,0,26,415,6,13
12/6/2017,2300 - 0000,9,33,20,41,14,41,104,64,26,0,0,0,0,14,208,4,13
12/7/2017,0500 - 0600,24,67,37,84,31,84,151,209,209,98,48,0,0,28,743,3,27
12/7/2017,0600 - 0700,18,66,33,71,28,71,631,816,667,224,208,0,0,79,2625,9,34
12/7/2017,0800 - 0900,6,22,11,24,9,24,620,126,0,0,0,0,0,32,778,7,29
12/7/2017,0900 - 1000,7,28,12,33,11,33,1223,414,4,0,0,0,0,53,1694,11,32
12/7/2017,1000 - 1100,4,21,12,34,10,34,484,161,24,0,0,0,0,20,689,4,31
12/7/2017,1100 - 1200,10,32,14,58,12,58,403,238,14,2,0,0,0,21,678,6,28
12/7/2017,1200 - 1300,12,66,18,69,15,69,1036,459,160,32,13,0,0,72,1772,10,32
12/7/2017,1300 - 1400,11,54,21,54,17,54,538,376,153,21,0,0,0,43,1131,7,34
12/7/2017,1400 - 1500,7,33,13,37,10,37,519,108,31,0,0,0,0,25,683,7,33
12/7/2017,1500 - 1600,4,24,6,24,5,24,495,33,0,0,0,0,0,20,548,3,21
12/7/2017,1600 - 1700,9,44,13,45,11,45,760,208,53,0,0,0,0,37,1058,7,26
12/7/2017,1700 - 1800,6,32,14,41,11,41,507,194,22,0,0,0,0,24,747,4,35
12/7/2017,1800 - 1900,9,53,28,93,20,93,782,241,121,75,131,1,0,53,1404,10,28
12/7/2017,1900 - 2000,14,80,42,106,31,106,556,295,143,59,247,57,0,45,1402,10,29
12/7/2017,2000 - 2100,7,64,40,94,23,94,468,46,53,16,128,11,0,24,746,6,28
12/7/2017,2100 - 2200,4,23,11,40,7,40,474,78,30,0,0,0,0,19,601,5,18
12/7/2017,2200 - 2300,6,22,14,36,10,36,128,46,4,0,0,0,0,9,187,3,15
12/7/2017,2300 - 0000,11,54,24,66,20,66,260,122,61,52,9,0,0,33,537,9,15
12/8/2017,0500 - 0600,19,51,24,65,21,65,360,305,198,49,7,0,0,41,960,4,26
12/8/2017,0600 - 0700,9,39,20,45,16,45,1035,672,326,0,0,0,0,67,2100,8,33
12/8/2017,0700 - 0800,8,20,12,22,11,22,136,44,0,0,0,0,0,6,186,1,23
12/8/2017,0800 - 0900,3,18,7,18,5,18,260,6,0,0,0,0,0,9,275,3,21
12/8/2017,0900 - 1000,7,71,17,69,14,71,1263,547,159,14,14,0,0,77,2074,13,37
12/8/2017,1000 - 1100,11,26,15,28,13,28,196,106,0,0,0,0,0,13,315,2,27
12/8/2017,1100 - 1200,8,39,14,39,12,39,738,350,27,0,0,0,0,42,1157,8,27
12/8/2017,1200 - 1300,6,30,16,44,12,44,824,290,86,0,0,0,0,48,1248,7,32
12/8/2017,1300 - 1400,8,39,15,47,12,47,977,484,37,1,0,0,0,60,1559,8,33
12/8/2017,1400 - 1500,7,37,16,40,12,40,641,311,57,0,0,0,0,35,1044,8,34
