Date,Time,Avg Wait Time (US),Max Wait Time (US),Avg Wait Time (Non-US),Max Wait Time (Non-US),Avg Wait Time,Max Wait Time,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
11/11/2016,0500 - 0600,10,35,20,46,15,46,287,194,54,1,0,0,0,16,552,3,31
11/11/2016,0600 - 0700,8,45,17,45,14,45,1012,504,194,0,0,0,0,57,1767,7,33
11/11/2016,0700 - 0800,9,49,16,63,14,63,502,288,60,3,1,0,0,29,883,4,32
11/11/2016,0800 - 0900,13,51,20,57,17,57,612,436,161,47,0,0,0,38,1294,5,33
11/11/2016,0900 - 1000,7,49,20,58,15,58,648,261,114,48,0,0,0,34,1105,6,30
11/11/2016,1000 - 1100,9,48,19,54,14,54,871,318,165,35,0,0,0,48,1437,8,22
11/11/2016,1100 - 1200,11,47,35,89,27,89,503,244,112,123,154,0,0,38,1174,5,28
11/11/2016,1200 - 1300,9,54,34,80,25,80,1055,237,128,316,246,0,0,61,2043,7,43
11/11/2016,1300 - 1400,11,59,33,59,27,59,274,181,93,209,0,0,0,19,776,2,43
11/11/2016,1400 - 1500,9,57,20,60,15,60,1171,343,239,126,0,0,0,61,1940,8,39
11/11/2016,1500 - 1600,8,33,15,34,12,34,278,89,36,0,0,0,0,19,422,2,29
11/11/2016,1600 - 1700,10,44,16,47,14,47,1112,491,190,5,0,0,0,51,1849,7,43
11/11/2016,1700 - 1800,14,57,22,59,18,59,615,628,166,35,0,0,0,54,1498,6,40
11/11/2016,1800 - 1900,10,38,19,40,15,40,849,561,152,0,0,0,0,48,1610,6,35
11/11/2016,1900 - 2000,10,38,16,47,13,47,340,186,23,3,0,0,0,19,571,4,32
11/11/2016,2000 - 2100,4,16,7,24,5,24,523,17,0,0,0,0,0,10,550,4,31
11/11/2016,2100 - 2200,7,49,9,50,9,50,414,66,12,6,0,0,0,24,522,3,15
11/11/2016,2200 - 2300,8,25,12,36,10,36,278,120,13,0,0,0,0,19,430,4,21
11/11/2016,2300 - 0000,3,33,6,33,4,33,367,59,4,0,0,0,0,23,453,4,23
11/12/2016,0500 - 0600,8,29,15,29,11,29,291,123,0,0,0,0,0,12,426,2,27
11/12/2016,0600 - 0700,12,44,20,53,18,53,1057,826,367,2,0,0,0,75,2327,9,36
11/12/2016,0700 - 0800,13,45,16,46,15,46,557,345,75,3,0,0,0,29,1009,4,35
11/12/2016,0800 - 0900,11,49,19,49,17,49,689,598,212,12,0,0,0,48,1559,7,36
11/12/2016,0900 - 1000,12,48,23,54,19,54,724,579,256,73,0,0,0,49,1681,8,37
11/12/2016,1000 - 1100,4,26,8,27,6,27,413,71,0,0,0,0,0,16,500,3,21
11/12/2016,1100 - 1200,8,35,16,53,12,53,1347,515,155,1,0,0,0,72,2090,9,33
